B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
102398.0,93195.0,95.0,479.0,4044.0,4585.0,19193
133009.0,124871.0,59.0,558.0,3130.0,4391.0,19013
12341.0,12190.0,0.0,22.0,104.0,25.0,19075
20568.0,20112.0,29.0,68.0,156.0,203.0,19105
10631.0,10483.0,41.0,23.0,57.0,27.0,19131
10155.0,9927.0,0.0,71.0,13.0,144.0,19137
9868.0,9704.0,0.0,12.0,62.0,90.0,19161
25039.0,24335.0,0.0,75.0,223.0,406.0,19149
21125.0,20885.0,5.0,37.0,129.0,69.0,19019
47218.0,46252.0,0.0,140.0,335.0,491.0,19045
8044.0,7859.0,10.0,13.0,48.0,114.0,19053
18077.0,15851.0,14.0,200.0,309.0,1703.0,19101
13880.0,13063.0,10.0,68.0,279.0,460.0,19005
222121.0,211495.0,61.0,1452.0,3646.0,5467.0,19113
84002.0,76533.0,225.0,573.0,2627.0,4044.0,19049
13911.0,13468.0,2.0,80.0,116.0,245.0,19141
2063.0,1802.0,0.0,0.0,89.0,172.0,20187
4261.0,3776.0,8.0,21.0,188.0,268.0,20119
32970.0,31760.0,28.0,193.0,365.0,624.0,20125
9582.0,9177.0,4.0,64.0,80.0,257.0,20151
2509.0,2417.0,0.0,1.0,20.0,71.0,20153
7852.0,7753.0,0.0,16.0,54.0,29.0,20003
6293.0,6123.0,5.0,59.0,33.0,73.0,20053
34895.0,30951.0,510.0,904.0,1587.0,943.0,20061
34484.0,25254.0,0.0,120.0,2165.0,6945.0,20057
6977.0,6819.0,0.0,46.0,28.0,84.0,20167
9798.0,9633.0,9.0,51.0,58.0,47.0,20117
12630.0,12371.0,0.0,103.0,104.0,52.0,20001
2677.0,2561.0,0.0,16.0,17.0,83.0,20023
35591.0,34238.0,50.0,143.0,624.0,536.0,20035
2562.0,2530.0,0.0,10.0,14.0,8.0,20049
25563.0,25040.0,6.0,119.0,193.0,205.0,20059
315327.0,242825.0,1138.0,4798.0,40333.0,26233.0,24027
906202.0,690228.0,3022.0,9520.0,87658.0,115774.0,24033
567696.0,508944.0,2210.0,9290.0,25746.0,21506.0,24003
827625.0,715108.0,1857.0,7684.0,55456.0,47520.0,24005
248472.0,218413.0,878.0,2760.0,13600.0,12821.0,24021
91082.0,87193.0,179.0,1061.0,1714.0,935.0,24009
29376.0,28864.0,16.0,185.0,226.0,85.0,24023
19593.0,18606.0,26.0,127.0,216.0,618.0,24029
1040133.0,683256.0,4285.0,16508.0,180983.0,155101.0,24031
167522.0,159341.0,117.0,1715.0,3859.0,2490.0,24013
49355.0,46784.0,69.0,414.0,1062.0,1026.0,24035
111531.0,104231.0,358.0,1560.0,2973.0,2409.0,24037
157671.0,144957.0,938.0,2252.0,5750.0,3774.0,24017
32261.0,30590.0,370.0,193.0,445.0,663.0,24019
149811.0,140864.0,373.0,1119.0,4028.0,3427.0,24043
102172.0,92621.0,351.0,758.0,3286.0,5156.0,24045
102517.0,97506.0,659.0,778.0,2019.0,1555.0,24015
32875.0,31009.0,110.0,199.0,434.0,1123.0,24011
791766.0,525958.0,18081.0,11753.0,111669.0,124305.0,25025
17313.0,14909.0,70.0,236.0,1027.0,1071.0,25007
1595192.0,1227553.0,13048.0,19019.0,165174.0,170398.0,25017
558905.0,472677.0,9599.0,4357.0,46155.0,26117.0,25005
469116.0,384174.0,41633.0,2795.0,24272.0,16242.0,25013
781024.0,627649.0,15226.0,7860.0,70780.0,59509.0,25009
70935.0,66139.0,447.0,451.0,1956.0,1942.0,25011
822280.0,695200.0,21819.0,7103.0,52419.0,45739.0,25027
161159.0,144153.0,1724.0,1609.0,6375.0,7298.0,25015
37834.0,36186.0,33.0,617.0,469.0,529.0,26033
