B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
6897.0,6820.0,0.0,20.0,17.0,40.0,01071951100
3219.0,3168.0,0.0,19.0,0.0,32.0,01071950200
5721.0,5587.0,0.0,0.0,133.0,1.0,01071950300
5761.0,5742.0,0.0,5.0,14.0,0.0,01071950600
6402.0,6326.0,0.0,0.0,59.0,17.0,01071950100
4471.0,4371.0,10.0,27.0,37.0,26.0,01071951000
3360.0,3267.0,13.0,22.0,2.0,56.0,01071950500
3937.0,3707.0,0.0,8.0,98.0,124.0,01071950800
5712.0,5577.0,0.0,44.0,91.0,0.0,01071950900
2129.0,2067.0,9.0,0.0,0.0,53.0,01071950400
4678.0,4663.0,0.0,0.0,0.0,15.0,01121011600
4042.0,3927.0,0.0,0.0,57.0,58.0,01121011700
4965.0,4965.0,0.0,0.0,0.0,0.0,01121011100
5672.0,5490.0,0.0,46.0,53.0,83.0,01121011300
5881.0,5786.0,0.0,20.0,75.0,0.0,01121011500
2838.0,2747.0,4.0,47.0,22.0,18.0,01121011200
2630.0,2593.0,0.0,0.0,0.0,37.0,01121011400
4128.0,3833.0,0.0,0.0,0.0,295.0,01103005109
6254.0,6040.0,0.0,115.0,13.0,86.0,01103005106
4718.0,4523.0,0.0,12.0,86.0,97.0,01103005107
3665.0,3393.0,0.0,44.0,66.0,162.0,01103005108
2753.0,2656.0,0.0,28.0,18.0,51.0,01103005701
6589.0,6387.0,0.0,0.0,0.0,202.0,01103005702
962.0,962.0,0.0,0.0,0.0,0.0,01105686800
7073.0,6779.0,0.0,0.0,103.0,191.0,01009050102
4749.0,4331.0,0.0,12.0,126.0,280.0,01009050300
9016.0,8762.0,0.0,25.0,99.0,130.0,01009050700
2617.0,2569.0,11.0,0.0,19.0,18.0,01067030300
2871.0,2795.0,0.0,0.0,59.0,17.0,01059973400
3830.0,3408.0,0.0,9.0,269.0,144.0,01059972900
3022.0,2594.0,0.0,9.0,45.0,374.0,01059973300
2345.0,2337.0,0.0,4.0,0.0,4.0,01059973500
5456.0,4458.0,0.0,31.0,84.0,883.0,01059973000
3817.0,2869.0,0.0,26.0,0.0,922.0,01059973200
6235.0,6125.0,0.0,27.0,45.0,38.0,01059973700
